funcionario,cargo,ministerio,url,foto
Liliana Beatriz Arraya ,Vocal del Directorio de la Agencia Córdoba Cultura,Presidente de la Agencia Córdoba Cultura,http://www.cba.gov.ar/reparticion/agencia-cordoba-cultura/vocal-3-directorio-cultura/,
Marcos Hernán Bovo,Vocal del Directorio de la Agencia Córdoba Cultura,Presidente de la Agencia Córdoba Cultura,http://www.cba.gov.ar/reparticion/agencia-cordoba-cultura/vocal-del-directorio-de-la-agencia-cordoba-cultura/,http://www.cba.gov.ar/wp-content/4p96humuzp/2017/12/marcos-bovo.jpg
Marilina Mirez Boemio,Directora General de Administración,Presidente de la Agencia Córdoba Cultura,http://www.cba.gov.ar/reparticion/agencia-cordoba-cultura/direccion-general-de-administracion/,
Javier Britch,Secretario de Ambiente y Cambio Climático,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/secretaria-de-ambiente-y-cambio-climatico/,http://www.cba.gov.ar/wp-content/4p96humuzp/2015/04/britch-j.png
Diego Horacio Suárez,Director General de Conservación de la Biodiversidad y Recursos Naturales,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/secretaria-de-ambiente-y-cambio-climatico/direccion-general-de-conservacion-de-la-biodiversidad-y-recursos-naturales/,
Maria Alejandra Novara ,Directora General de Instrumentos y Políticas de Gestión Ambiental,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/secretaria-de-ambiente-y-cambio-climatico/direccion-general-de-instrumentos-y-politicas-de-gestion-ambiental/,
Román Cristian Pereyra,Director General de Mitigación y Adaptación al Cambio Climático,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/secretaria-de-ambiente-y-cambio-climatico/direccion-general-de-mitigacion-y-adaptacion-al-cambio-climatico/,http://www.cba.gov.ar/wp-content/4p96humuzp/2016/02/AGUA-correg..jpg
Alberto Bresciano,Secretario de Servicios Públicos,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/secretaria-de-servicios-publicos/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/Alberto-Bresciano1.jpg
Juan Vallejos,Director General de Operaciones,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/secretaria-de-servicios-publicos/direccion-general-de-operaciones/,
,Director General de Regulación de Servicios Públicos,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/secretaria-de-servicios-publicos/direccion-general-de-control-regulacion-de-servicios-publicos/,
Gabriel Bermúdez,Secretario de Transporte,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/secretaria-de-transporte/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/Gabriel-Bermudez.jpg
Marcelo Mansilla,Director General de Transporte de Pasajeros,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/secretaria-de-transporte/direccion-general-de-transporte-boleto-educativo/,
Carlos Alaye,Director General de Transporte de Cargas,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/secretaria-de-transporte/direccion-general-de-operaciones/,http://www.cba.gov.ar/wp-content/4p96humuzp/2014/02/carlos-alaye.jpg
Emiliano Willatowski,Director General de Administración,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/secretaria-de-transporte/direccion-general-de-administracion/,
Edgar Castelló,Secretario de Recursos Hídricos,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/secretaria-de-recursos-hidricos-y-coordinacion/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/Edgar-Castelló.jpg
,Director General de Irrigación,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/secretaria-de-recursos-hidricos-y-coordinacion/direccion-general-de-irrigacion/,
,Director General de Recursos Hídricos,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/secretaria-de-recursos-hidricos-y-coordinacion/secretaria-de-desarrollo-energetico/,
Edgar Castelló (A Cargo),Secretario de Desarrollo Energético,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/secretaria-de-desarrollo-energetico/,
Sergio Luis Mansur,Director General de Energías Renovables y Comunicación,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/secretaria-de-desarrollo-energetico/direccion-general-de-desarrollo-energetico/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/11/Sergio_Mansur.jpg
Bernardo Bartolomé Heredia,"Director General de Planeamiento, Ejecución y Gerenciamiento de Obras","Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/secretaria-de-desarrollo-energetico/dir-gral-de-infraestructura-y-combustible/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/Bernardo-Heredia.png
Rubén Alberto Borello,Director General de Infraestructra,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/secretaria-de-desarrollo-energetico/direccion-general-de-infraestructura/,http://www.cba.gov.ar/wp-content/4p96humuzp/2016/07/borelllo.png
Adrián Rinaudo,Director de Policía Ambiental,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/direccion-de-policia-ambiental/,http://www.cba.gov.ar/wp-content/4p96humuzp/2016/03/Director-Adrian-Rinaudo1.png
María Victoria Muccillo,Subdirectora de Policía Ambiental,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/direccion-de-policia-ambiental/subdireccion-de-policia-ambiental/,http://www.cba.gov.ar/wp-content/4p96humuzp/2016/03/Subdirectora-Maria-Victoria-Muccillo1.png
