ministerio,cargo,funcionario,url
Ministro de Justicia y Derechos Humanos,"Director de Trabajo, Producción y Comercialización Penitenciaria del Servicio Penitenciario de Córdoba",Juan E. Gelos,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/
Ministro de Justicia y Derechos Humanos,Director General de Asuntos Legales,Nicolás Ramón Pagnucco,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/
Ministro de Justicia y Derechos Humanos,Director General de Capacitación y Difusión de los Derechos Humanos en la Comunidad,Cristian Scheurer,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/
Ministro de Justicia y Derechos Humanos,Director General de Inspección de Personas Jurídicas,Verónica Gabriela Sanz,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/
Ministro de Justicia y Derechos Humanos,Director General Penal Juvenil,Pablo Rivarola,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/
Ministro de Justicia y Derechos Humanos,Directora de Administración del Servicio Penitenciario,María Inés Cabanillas,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/
Ministro de Justicia y Derechos Humanos,Directora de Asuntos Jurídicos del Servicio Penitenciario de Córdoba,Rosa E. Alaimo,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/
Ministro de Justicia y Derechos Humanos,Directora General de Capacitación Profesional Penitenciaria,Sandra Liz Chiavaro,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/
Ministro de Justicia y Derechos Humanos,Ministro de Justicia y Derechos Humanos,Luis Angulo,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/
Ministro de Justicia y Derechos Humanos,Presidente Unidad Ejecutora para el Saneamiento de Títulos,Darío Conrado Luna,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/
Ministro de Justicia y Derechos Humanos,Secretaria de Justicia,Laura Matilde Echenique,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/
Ministro de Justicia y Derechos Humanos,Secretaria de Lucha contra la Violencia a la Mujer y Trata de Personas,Claudia Roxana Martínez,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/
Ministro de Justicia y Derechos Humanos,Secretario de Derechos Humanos,Raúl Hernando Sánchez,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/
Ministro de Justicia y Derechos Humanos,"Secretario de Niñez, Adolescencia y Familia",José Ricardo Piñero,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/
Ministro de Justicia y Derechos Humanos,Secretario de Organización y Gestión Penitenciaria,Juan Martín Farfán,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/
Ministro de Justicia y Derechos Humanos,Subsecretaria de Asistencia y Trata de Personas,Cintia Daniela Hayipanteli,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/
Ministro de Justicia y Derechos Humanos,Subsecretaria de Derechos Humanos,Graciela Ayame,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/
Ministro de Justicia y Derechos Humanos,Subsecretaria de Lucha Contra la Violencia de Género y Familia,Emma Lucía García,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/
Ministro de Justicia y Derechos Humanos,"Subsecretario de Niñez, Adolescencia y Familia",Antonio Franco,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/
Ministro de Justicia y Derechos Humanos,Titular,Juan María Bouvier,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/
Ministro de Obras Públicas y Financiamiento,Dirección General de Vivienda,Facundo Chacón,http://www.cba.gov.ar/reparticion/ministerio-de-obras-pubicas-y-financiamiento/
Ministro de Obras Públicas y Financiamiento,Director General de Coordinación de Obras Públicas,Leandro Álvaro García,http://www.cba.gov.ar/reparticion/ministerio-de-obras-pubicas-y-financiamiento/
Ministro de Obras Públicas y Financiamiento,Director General de Obras,Jose Maiocco,http://www.cba.gov.ar/reparticion/ministerio-de-obras-pubicas-y-financiamiento/
Ministro de Obras Públicas y Financiamiento,Director General de Proyectos,Jose Luis Ferrero,http://www.cba.gov.ar/reparticion/ministerio-de-obras-pubicas-y-financiamiento/
Ministro de Obras Públicas y Financiamiento,Directora General de Administración,María Soledad Usín,http://www.cba.gov.ar/reparticion/ministerio-de-obras-pubicas-y-financiamiento/
Ministro de Obras Públicas y Financiamiento,Directora General de Asuntos Legales, Liliana G. Padró,http://www.cba.gov.ar/reparticion/ministerio-de-obras-pubicas-y-financiamiento/
Ministro de Obras Públicas y Financiamiento,Ministro de Obras Públicas y Financiamiento, Ricardo Roberto Sosa,http://www.cba.gov.ar/reparticion/ministerio-de-obras-pubicas-y-financiamiento/
Ministro de Obras Públicas y Financiamiento,Presidente de la Dirección Provincial de Vialidad, Osvaldo Rubén Vottero,http://www.cba.gov.ar/reparticion/ministerio-de-obras-pubicas-y-financiamiento/
Ministro de Obras Públicas y Financiamiento,Secretario de Arquitectura,Daniel Eduardo Rey,http://www.cba.gov.ar/reparticion/ministerio-de-obras-pubicas-y-financiamiento/
Ministro de Obras Públicas y Financiamiento,Secretario de Financiamiento,Roque Martín Spidalieri,http://www.cba.gov.ar/reparticion/ministerio-de-obras-pubicas-y-financiamiento/
Ministro de Obras Públicas y Financiamiento,Subsecretario de Administración,Omar Clemente Soldano,http://www.cba.gov.ar/reparticion/ministerio-de-obras-pubicas-y-financiamiento/
